Distance,Resistance,Voltage,Current,Power
0.3,9999,0.429,4.29043E-05,1.84059E-05
0.3,8999,0.427,4.74497E-05,2.0261E-05
0.3,7999,0.426,5.32567E-05,2.26873E-05
0.3,6999,0.425,6.0723E-05,2.58073E-05
0.3,5999,0.424,7.06784E-05,2.99677E-05
0.3,4999,0.423,8.46169E-05,3.5793E-05
0.3,3999,0.422,0.000105526,4.45321E-05
0.3,2999,0.421,0.00014038,5.91E-05
0.3,1999,0.417,0.000208604,8.6988E-05
0.3,999,0.408,0.000408408,0.000166631
0.3,899,0.405,0.000450501,0.000182453
0.3,799,0.402,0.000503129,0.000202258
0.3,699,0.398,0.000569385,0.000226615
0.3,599,0.393,0.000656093,0.000257845
0.3,499,0.385,0.000771543,0.000297044
0.3,399,0.373,0.000934837,0.000348694
0.3,299,0.35,0.001170569,0.000409699
0.3,199,0.302,0.001517588,0.000458312
0.3,99,0.185,0.001868687,0.000345707
0.3,89,0.169,0.001898876,0.00032091
0.3,79,0.152,0.001924051,0.000292456
0.3,69,0.134,0.001942029,0.000260232
0.3,59,0.116,0.001966102,0.000228068
0.3,49,0.097,0.001979592,0.00019202
0.3,39,0.077,0.001974359,0.000152026
0.3,29,0.058,0.002,0.000116
0.3,19,0.039,0.002052632,8.00526E-05
0.3,9,0.019,0.002111111,4.01111E-05
0.3,8,0.017,0.002125,0.000036125
0.3,7,0.015,0.002142857,3.21429E-05
0.3,6,0.013,0.002166667,2.81667E-05
0.3,5,0.011,0.0022,0.0000242
0.3,4,0.009,0.00225,0.00002025
0.3,3,0.007,0.002333333,1.63333E-05
0.3,2,0.005,0.0025,0.0000125
0.3,1,0.003,0.003,0.000009
